ID,Name,125,250,500,1000,2000,4000
RIG001,"Rigitone R 6/18 30/30*",0.3,0.5,0.6,0.55,0.5,0.55
RIG002,"Rigitone R 6/18 50/0",0.15,0.35,0.7,0.75,0.55,0.45
RIG003,"Rigitone R 6/18 50/50**",0.45,0.6,0.75,0.6,0.55,0.55
RIG004,"Rigitone R 6/18 200/0",0.3,0.7,0.75,0.75,0.6,0.45
RIG005,"Rigitone R 6/18 200/50**",0.5,0.5,0.55,0.55,0.6,0.6
RIG006,"Rigitone R 6/18 400/50**",0.5,0.5,0.55,0.55,0.6,0.6
RIG007,"Rigitone R 8/18 30/30*",0.25,0.55,0.75,0.8,0.75,0.75
RIG008,"Rigitone R 8/18 50/0",0.15,0.3,0.65,0.85,0.6,0.45
RIG009,"Rigitone R 8/18 50/50**",0.45,0.75,0.75,0.75,0.7,0.75
RIG010,"Rigitone R 8/18 200/0",0.4,0.6,0.8,0.6,0.5,0.5
RIG011,"Rigitone R 8/18 200/50**",0.55,0.7,0.75,0.75,0.75,0.75
RIG012,"Rigitone R 8/18 400/50**",0.6,0.6,0.8,0.75,0.75,0.75
RIG013,"Rigitone R 10/23 30/30*",0.25,0.55,0.7,0.75,0.7,0.7
RIG014,"Rigitone R 10/23 50/0",0.1,0.25,0.65,0.9,0.55,0.25
RIG015,"Rigitone R 10/23 50/50**",0.4,0.7,0.75,0.7,0.65,0.7
RIG016,"Rigitone R 10/23 200/0",0.35,0.7,0.85,0.6,0.35,0.5
RIG017,"Rigitone R 10/23 200/50**",0.6,0.75,0.7,0.75,0.7,0.75
RIG018,"Rigitone R 10/23 400/50**",0.6,0.6,0.65,0.75,0.75,0.75
RIG019,"Rigitone R 12/25 30/30*",0.2,0.55,0.8,0.85,0.8,0.75
RIG020,"Rigitone R 12/25 50/0",0.05,0.25,0.65,0.85,0.65,0.5
RIG021,"Rigitone R 12/25 50/50**",0.4,0.75,0.8,0.75,0.75,0.75
RIG022,"Rigitone R 12/25 200/0",0.35,0.75,0.9,0.65,0.55,0.4
RIG023,"Rigitone R 12/25 200/50**",0.6,0.75,0.75,0.75,0.75,0.75
RIG024,"Rigitone R 12/25 400/50**",0.7,0.65,0.75,0.85,0.8,0.75
RIG025,"Rigitone R 15/30 30/30*",0.2,0.5,0.8,0.9,0.8,0.75
RIG026,"Rigitone R 15/30 50/0",0.1,0.25,0.6,0.85,0.55,0.35
RIG027,"Rigitone R 15/30 50/50**",0.4,0.75,0.85,0.85,0.75,0.8
RIG028,"Rigitone R 15/30 200/0",0.35,0.7,0.85,0.65,0.5,0.35
RIG029,"Rigitone R 15/30 200/50**",0.6,0.8,0.8,0.8,0.8,0.8
RIG030,"Rigitone R 15/30 400/50**",0.7,0.7,0.75,0.9,0.85,0.75
RIG031,"Rigitone R 12-20/66 30/30*",0.2,0.55,0.8,0.95,0.8,0.75
RIG032,"Rigitone R 12-20/66 50/0",0.1,0.25,0.6,0.85,0.55,0.35
RIG033,"Rigitone R 12-20/66 50/50**",0.4,0.75,0.85,0.9,0.7,0.75
RIG034,"Rigitone R 12-20/66 200/0",0.4,0.7,0.85,0.65,0.5,0.35
RIG035,"Rigitone R 12-20/66 200/50**",0.65,0.8,0.8,0.85,0.75,0.75
RIG036,"Rigitone R 12-20/66 400/50**",0.7,0.7,0.75,0.9,0.85,0.75
RIG037,"Rigitone R 8-15-20 30/30*",0.3,0.5,0.5,0.45,0.35,0.35
RIG038,"Rigitone R 8-15-20 50/0",0.1,0.4,0.6,0.55,0.25,0.1
RIG039,"Rigitone R 8-15-20 50/50**",0.5,0.5,0.45,0.4,0.3,0.35
